company_name,company_number,_score,incorporation_date,registered_office_address,check_status,website_url,career_page_url,has_openings,matching_roles_found,last_checked_date,shortlist,notes
ROSSINGTON WEALTH MANAGEMENT LTD,09937771,11.0,06-01-2016,3 Crickets Drive Lincoln England LN2 2GS,pending,,,,,,,
ALPHA TELECOMMUNICATIONS LIMITED,07051047,11.0,20-10-2009,118 Park Avenue Barking England IG11 8QX,pending,,,,,,,
LONDON CAPITAL INTERNATIONAL LTD,11385866,11.0,29-05-2018,128 City Road London United Kingdom EC1V 2NX,pending,,,,,,,
FUNDROCK PARTNERS LIMITED,04162989,11.0,19-02-2001,Hamilton Centre Chelmsford England CM1 3BY,pending,,,,,,,
OXFORD TECHNOLOGY 2 VENTURE CAPITAL TRUST PLC,03928569,11.0,18-02-2000,Magdalen Centre Oxford OX4 4GA,pending,,,,,,,
DAKSFIRST LIMITED,11626401,11.0,16-10-2018,8 Hill Street London England W1J 5NG,pending,,,,,,,
RLUM LIMITED,02369965,11.0,10-04-1989,80 Fenchurch Street London United Kingdom EC3M 4BY,pending,,,,,,,
ROYAL LONDON ASSET MANAGEMENT LIMITED,02244297,11.0,14-04-1988,80 Fenchurch Street London United Kingdom EC3M 4BY,pending,,,,,,,
MOMENTUM INVESTING LTD,09121989,11.0,08-07-2014,84 High Street London England NW10 4SJ,pending,,,,,,,
(CGN) CAPITAL GROWTH NETWORK LTD,09041461,11.0,15-05-2014,167 Gloucester Terrace London W2 6DX,pending,,,,,,,
CAPITAL FINANCE AND INVESTMENT MANAGEMENT LIMITED,06756876,11.0,24-11-2008,Pyramid House London England N12 9RT,pending,,,,,,,
YFT CONSULT LTD,10031322,11.0,29-02-2016,57 Greens Valley Drive Stockton-On-Tees England TS18 5QH,pending,,,,,,,
THE HOUSEHOLD CAVALRY FOUNDATION,08236363,11.0,02-10-2012,Horse Guards Household Cavalry Foundation London SW1A 2AX,pending,,,,,,,
ORIGIN INVEST LIMITED,07091807,11.0,01-12-2009,Floor 2 Berkeley Square House Berkeley Square London W1J 6BD,pending,,,,,,,
FAIRWAY CAPITAL LTD,10134142,11.0,19-04-2016,21-23 Ives Street Chelsea United Kingdom SW3 2ND,pending,,,,,,,
LEASEFIN LIMITED,01370470,11.0,25-05-1978,97 Southover London N12 7HG,pending,,,,,,,
T. BAILEY ASSET MANAGEMENT LIMITED,03720372,11.0,25-02-1999,Toll Bar House Landmere Lane Nottingham England NG12 4DG,pending,,,,,,,
F.M.I. BANQUE LTD,11523211,11.0,17-08-2018,85 Great Portland Street London United Kingdom W1W 7LT,pending,,,,,,,
COMMITTED CAPITAL FINANCIAL SERVICES LIMITED,03810820,11.0,21-07-1999,148-150 Buckingham Palace Road London England SW1W 9TR,pending,,,,,,,
THE ECU GROUP PUBLIC LIMITED COMPANY,02296619,11.0,14-09-1988,17 Shirwell Crescent Milton Keynes England MK4 1GA,pending,,,,,,,
CETEX.ONLINE LTD,11130034,11.0,02-01-2018,10 Upper Bank Street London England E14 5GH,pending,,,,,,,
BIG ISSUE INVEST LIMITED,04764982,11.0,14-05-2003,113-115 Fonthill Road London England N4 3HH,pending,,,,,,,
CHURCHILL INVESTMENTS PLC,03125227,11.0,13-11-1995,9 Woodborough Road Winscombe BS25 1AB,pending,,,,,,,
SOFTPOINT LICENCING LTD,04228348,11.0,04-06-2001,Unit 5 Mosley Business Park Burton On Trent DE14 1DW,pending,,,,,,,
CANYON CAPITAL ADVISORS (EUROPE) LIMITED,05886261,11.0,25-07-2006,"Suite 1,  7th Floor 50 Broadway London United Kingdom SW1H 0BL",pending,,,,,,,
BESTPORT PRIVATE EQUITY LIMITED,11234307,11.0,05-03-2018,42 Upper Berkeley St London United Kingdom W1H 5QL,pending,,,,,,,
NEW AGE CONSULT (RESIDENTIAL) LIMITED,06103547,11.0,14-02-2007,C/O Incorporate Online Ltd Suite 3 Newbury Park United Kingdom IG2 7HU,pending,,,,,,,
CLEARANCE CAPITAL LIMITED,06760235,11.0,27-11-2008,3 Copthall Avenue London England EC2R 7BH,pending,,,,,,,
SPRING CAPITAL PARTNERS LIMITED,06310222,11.0,11-07-2007,Basildon House London England EC2R 6AF,pending,,,,,,,
BLACK RIVER CAPITAL LTD,11254392,11.0,14-03-2018,111b 111b Bishops Way London United Kingdom E2 9HL,pending,,,,,,,
BARRHILL COMMUNITY INTEREST COMPANY,SC348907,11.0,22-09-2008,Memorial Hall Main Street Girvan Scotland KA26 0PP,pending,,,,,,,
MADARA CAPITAL MANAGEMENT LTD,10425704,11.0,13-10-2016,"39th Floor,  One Canada Square London England E14 5AB",pending,,,,,,,
HASMA CAPITAL ADVISORS (UK) LIMITED,06242054,11.0,09-05-2007,23 Hill Street London England W1J 5JW,pending,,,,,,,
INVESTRIUM LIMITED,10491728,11.0,22-11-2016,15 Siskin Avenue Dalton-In-Furness England LA15 8QB,pending,,,,,,,
HEARTHSTONE INVESTMENTS LIMITED,06379066,11.0,24-09-2007,"Suite 2.06,  Bridge House 181 Queen Victoria Street London United Kingdom EC4V 4EG",pending,,,,,,,
COUNSELOR SERVICE HOLDING LTD,11158428,11.0,19-01-2018,20-22 Wenlock Road London England N1 7GU,pending,,,,,,,
CENKOS SECURITIES (TRUSTEES) LIMITED,05780209,11.0,13-04-2006,1 Bartholomew Close London England EC1A 7BL,pending,,,,,,,
LAGUNA INTERNATIONAL BUSINESS CONSULTING LIMITED,12145682,10.5,08-08-2019,Kemp House London United Kingdom EC1V 2NX,pending,,,,,,,
EHG & G PLANNING LTD,10971078,10.5,19-09-2017,60 Hilltop Lane Caterham England CR3 5BG,pending,,,,,,,
VARNA CONSULTANCY LTD,10600992,10.5,06-02-2017,Flat 3 St Floor London England WC1N 1AP,pending,,,,,,,
EVLEN  CAPITAL  INVESTMENTS LTD,12272000,10.5,21-10-2019,20-22 Wenlock Road London England N1 7GU,pending,,,,,,,
ALPHA QUANTS LIMITED,09395881,10.5,19-01-2015,115 Hampstead Road London England NW1 3EE,pending,,,,,,,
SALORIA ECO BUSINESS LTD,08815861,10.5,16-12-2013,Unit 27 Cygnus Business Centre London England NW10 2XA,pending,,,,,,,
ENCRYPTICON LTD,11770092,10.5,16-01-2019,20-22 Wenlock Road London England N1 7GU,pending,,,,,,,
HALLMARK ASSETS MANAGEMENT LIMITED,12234241,10.5,30-09-2019,31 Belson Road London England SE18 5PU,pending,,,,,,,
LADHAM PROPERTIES LIMITED,07544227,10.5,28-02-2011,Hill View House Cranbrook TN17 3AD,pending,,,,,,,
MD SOLUTION GROUP LIMITED,10746006,10.5,28-04-2017,Suite 1 Mease Croft Birmingham B9 4PW,pending,,,,,,,
RISKSAVE TECHNOLOGIES LTD,09930262,10.5,29-12-2015,2 Eastbourne Terrace London England W2 6LG,pending,,,,,,,
9912085 LTD,09912085,10.5,10-12-2015,"C/O Specialist Mobility Training Ltd,  Unit 6 Leamington Spa England CV31 3RG",pending,,,,,,,
CROWNGLOBAL CAPITAL UK LIMITED,12206004,10.5,13-09-2019,3 Portnall Road London United Kingdom W9 3BA,pending,,,,,,,
BUTWHO ENTERTAINMENT GROUP LTD,11987148,10.5,09-05-2019,1st Floor 124 Cleveland Street London United Kingdom W1T 6PG,pending,,,,,,,
BLINNIO PARTNERS LTD,10841882,10.5,29-06-2017,19 Ellington House Ashmore Road London England SE18 4AS,pending,,,,,,,
EDUARD TRANSPORT SERVICES LTD,10690786,10.5,27-03-2017,11 Parrys Grove Bristol England BS9 1TT,pending,,,,,,,
SILICON SILK LTD,12039590,10.5,07-06-2019,128 City Road London England EC1V 2NX,pending,,,,,,,
CRAGG ESTATE MANAGEMENT LTD,07814071,10.5,18-10-2011,85 Percy Road London W12 9QH,pending,,,,,,,
GROSVENOR SERVICE SOLUTIONS LIMITED,09601954,10.5,20-05-2015,3 Bronte View Gravesend England DA12 1PX,pending,,,,,,,
ZEUSS CHILDCARE LIMITED,09915813,10.5,14-12-2015,33 Charterhouse Street London United Kingdom EC1M 6HA,pending,,,,,,,
EVOLUTIS CAPITAL LTD,07591020,10.5,05-04-2011,58 Marryat Road London England SW19 5BD,pending,,,,,,,
REALIZE.VC LIMITED,10693224,10.5,28-03-2017,66 Shelburne Road High Wycombe England HP12 3NQ,pending,,,,,,,
SEAWEST INDUSTRIES LTD,07839691,10.5,08-11-2011,Flat 4 Redcliffe Gardens 52 London England SW10 9HB,pending,,,,,,,
CITYSTONE ALLIANCE GROUP LTD,12169223,10.5,22-08-2019,"4th Floor,  18 St. Cross Street London England EC1N 8UN",pending,,,,,,,
J.E.DEVEREUX LTD,SC454393,10.5,12-07-2013,1 Campview Edinburgh Scotland EH22 1QD,pending,,,,,,,
GTF INVESTMENT GROUP LIMITED,12048963,10.5,13-06-2019,27 Old Gloucester Street London United Kingdom WC1N 3AX,pending,,,,,,,
CBA CAPITAL PARTNERS LTD,11862974,10.5,05-03-2019,"95 Mortimer Street,  Suite 26 London United Kingdom W1W 7GB",pending,,,,,,,
GULFCAP GROUP LIMITED,11102374,10.5,07-12-2017,23a Kenilworth Gardens Hayes UB4 0AY,pending,,,,,,,
PEAR TREE PARTNERSHIP LTD,08424007,10.5,28-02-2013,Fulwood Godalming GU7 1QF,pending,,,,,,,
REVOLUX CAPITAL LTD,08714253,10.5,02-10-2013,7 Bell Yard London England WC2A 2JR,pending,,,,,,,
ANTERRA LIMITED,07953000,10.0,16-02-2012,7-8 Ritz Parade London W5 3RA,pending,,,,,,,
BAOBAB INVESTMENT MANAGERS LTD,07456530,10.0,01-12-2010,Leytonstone House London England E11 1GA,pending,,,,,,,
AUTONOMY SERVICE COMPANY LIMITED,04607476,10.0,03-12-2002,9 Appold Street London England EC2A 2AP,pending,,,,,,,
BALYASNY INTERNATIONAL ASSET MANAGEMENT LIMITED,05147664,10.0,08-06-2004,23 King Street London England SW1Y 6QY,pending,,,,,,,
MULVANEY CAPITAL MANAGEMENT LIMITED,03734035,10.0,17-03-1999,5th Floor 3 Moorgate Place London England EC2R 6EA,pending,,,,,,,
AZINI 3 (GENERAL PARTNER) LIMITED,04000835,10.0,19-05-2000,32 Maple Street London W1T 6HB,pending,,,,,,,
NAPIER PARK GLOBAL CAPITAL LTD,07480435,10.0,31-12-2010,5 Hanover Square London England W1S 1HE,pending,,,,,,,
THREE BODY CAPITAL LIMITED,11642880,10.0,25-10-2018,30 Churchill Place London England E14 5RE,pending,,,,,,,
J ROTHSCHILD CAPITAL MANAGEMENT LIMITED,02201053,10.0,01-12-1987,27 St. James's Place London SW1A 1NR,pending,,,,,,,
PALATIUM INVESTMENT MANAGEMENT LIMITED,05455959,10.0,18-05-2005,6th Floor Kings House London England SW1Y 4BP,pending,,,,,,,
OAK HILL ADVISORS (U.K. SERVICES) LIMITED,05477617,10.0,10-06-2005,45 Pall Mall London SW1Y 5JG,pending,,,,,,,
LK ADVISERS LIMITED,04310198,10.0,24-10-2001,"Berkeley Square House,  Fifth Floor London United Kingdom W1J 6BY",pending,,,,,,,
FYRESQUARE CAPITAL LIMITED,07284517,10.0,15-06-2010,2 St. James's Street London England SW1A 1EF,pending,,,,,,,
GAM STERLING MANAGEMENT LIMITED,01750352,10.0,06-09-1983,8 Finsbury Circus London England EC2M 7GB,pending,,,,,,,
GAM LONDON LIMITED,00874802,10.0,24-03-1966,8 Finsbury Circus London England EC2M 7GB,pending,,,,,,,
HAMILTON LANE (UK) LIMITED,04507221,10.0,08-08-2002,"10 Bressenden Place,  4th Floor London United Kingdom SW1E 5DH",pending,,,,,,,
EVEREST INVESTMENTS MANAGEMENT LIMITED,06756975,10.0,24-11-2008,Pyramid House London England N12 9RT,pending,,,,,,,
PRAGMA WEALTH MANAGEMENT LTD.,04191349,10.0,30-03-2001,"The Scalpel,  18th Floor London United Kingdom EC3M 7AF",pending,,,,,,,
LONGVIEW PARTNERS (UK) LIMITED,04170481,10.0,01-03-2001,Savoystrand London England WC2R 0AA,pending,,,,,,,
RESOLUTION PROPERTY FM LIMITED,04446371,10.0,23-05-2002,7 Heddon Street London England W1B 4BD,pending,,,,,,,
HERACLES CAPITAL LTD,12973217,10.0,26-10-2020,1 Lindfield Gardens London England NW3 6PX,pending,,,,,,,
INFINITY INVESTMENT PROJECTS LTD,12660982,10.0,10-06-2020,49 Foxbourne Road London United Kingdom SW17 8AS,pending,,,,,,,
WORLDINVEST MANAGEMENT LTD.,06950394,10.0,02-07-2009,Southwest House London England SW1Y 4LR,pending,,,,,,,
MITSUBISHI UFJ ASSET MANAGEMENT (UK) LTD.,01842259,10.0,20-08-1984,24 Lombard Street London EC3V 9AJ,pending,,,,,,,
THOMPSON TARAZ MANAGERS LIMITED,04482509,10.0,10-07-2002,"C/O Thompson Taraz Llp 4th Floor,  Stanhope House London England W1K 1PR",pending,,,,,,,
PRIMARY CAPITAL LIMITED,02924207,10.0,29-04-1994,Augustine House London EC2N 2HA,pending,,,,,,,
MAYFAIR SPORTS VENTURES LTD,12455157,10.0,11-02-2020,71-75 Shelton Street London England WC2H 9JQ,pending,,,,,,,
CHELTON CAPITAL LIMITED,11493173,10.0,31-07-2018,128 City Road London United Kingdom EC1V 2NX,pending,,,,,,,
SAMENA CAPITAL LIMITED,06526886,10.0,07-03-2008,14 Hanover Square Office 2.15b London United Kingdom W1S 1HN,pending,,,,,,,
PROSPERITY CAPITAL MANAGEMENT (UK) LIMITED,04959887,10.0,11-11-2003,3rd Floor 207 Regent Street London United Kingdom W1B 3HH,pending,,,,,,,
HEDGE FUNDS LIMITED,03591243,10.0,01-07-1998,30 Crown Place London England EC2A 4EB,pending,,,,,,,
PIMCO EUROPE LTD,02604517,10.0,24-04-1991,11 Baker Street London W1U 3AH,pending,,,,,,,
PORTLAND INVESTMENTS (AM) LIMITED,07427829,10.0,03-11-2010,Portland House Durham England DH1 4QP,pending,,,,,,,
ALTUS INVESTMENT MANAGEMENT LIMITED,04940982,10.0,22-10-2003,24 Grosvenor Street London England W1K 4QN,pending,,,,,,,
PRADERA LIMITED,03786152,10.0,10-06-1999,3rd Floor 345 Oxford Street London England W1C 2JD,pending,,,,,,,
POINT ONE GLOBAL INVESTMENT LIMITED,11489860,10.0,30-07-2018,88 Sycamore Avenue Peterborough United Kingdom PE1 4JU,pending,,,,,,,
LINGA UK LIMITED,05374629,10.0,24-02-2005,70 Great Arthur House Fann Street City Of London EC1Y 0RQ,pending,,,,,,,
HEDGE FUNDS INVESTMENT MANAGEMENT LIMITED,03591241,10.0,01-07-1998,30 Crown Place London EC2A 4ES,pending,,,,,,,
FAIRHOLME MANAGEMENT LIMITED,00698486,10.0,17-07-1961,58 Suite 8 London United Kingdom NW8 6AG,pending,,,,,,,
RREEF EUROPEAN VALUE ADDED I (G.P.) LIMITED,05869878,10.0,07-07-2006,21 Moorfields London United Kingdom EC2Y 9DB,pending,,,,,,,
SHORE CAPITAL LIMITED,03841076,10.0,09-09-1999,Cassini House London England SW1A 1LD,pending,,,,,,,
NINETY ONE UK LIMITED,02036094,10.0,10-07-1986,55 Gresham Street London England EC2V 7EL,pending,,,,,,,
POLUNIN CAPITAL PARTNERS LIMITED,04132122,10.0,28-12-2000,10 Cavalry Square London SW3 4RB,pending,,,,,,,
OTUS CAPITAL MANAGEMENT LIMITED,04095762,10.0,19-10-2000,29 Queen Annes Gate London England SW1H 9BU,pending,,,,,,,
SWISS LIFE ASSET MANAGERS UK LIMITED,04846209,10.0,25-07-2003,55 Wells Street London England W1T 3PT,pending,,,,,,,
DRAKE HOWELL LIMITED,09244948,10.0,02-10-2014,The Old Farmhouse Paices Hill Reading England RG7 4PG,pending,,,,,,,
ALLSPRING GLOBAL INVESTMENTS (UK) LIMITED,03710963,10.0,10-02-1999,30 Cannon Street London United Kingdom EC4M 6XH,pending,,,,,,,
IGLOO REGENERATION (GENERAL PARTNER) LIMITED,04299836,10.0,05-10-2001,80 Fenchurch Street London United Kingdom EC3M 4AE,pending,,,,,,,
PICNIC INVESTMENT LIMITED,11459868,10.0,11-07-2018,W106 Vox Studios Durham Street London England SE11 5JH,pending,,,,,,,
DWS INVESTMENTS UK LIMITED,05233891,10.0,16-09-2004,21 Moorfields London United Kingdom EC2Y 9DB,pending,,,,,,,
ARDIAN INVESTMENT UK LIMITED,05654928,10.0,15-12-2005,1 Grafton Street London W1S 4FE,pending,,,,,,,
NIPPON LIFE SCHRODERS ASSET MANAGEMENT EUROPE LIMITED,03709605,10.0,02-02-1999,1 London Wall Place London England EC2Y 5AU,pending,,,,,,,
GUINNESS ASSET MANAGEMENT LIMITED,04647882,10.0,27-01-2003,18 Smith Square London England SW1P 3HZ,pending,,,,,,,
FOREXBOND LTD,12615479,10.0,21-05-2020,128 City Road London United Kingdom EC1V 2NX,pending,,,,,,,
CONNING ASSET MANAGEMENT LIMITED,03654447,10.0,16-10-1998,24 Monument Street London EC3R 8AJ,pending,,,,,,,
COHEN & STEERS UK LIMITED,05861206,10.0,29-06-2006,The Burlian 3 Dering Street London England W1S 1AA,pending,,,,,,,
THREADNEEDLE INTERNATIONAL LIMITED,02283244,10.0,02-08-1988,Cannon Place London EC4N 6AG,pending,,,,,,,
CAL INVESTMENTS LIMITED,01488617,10.0,31-03-1980,"1st Floor,  Nicholas House London England EC4R 0EU",pending,,,,,,,
HEARTHSTONE ASSET MANAGEMENT LIMITED,07458920,10.0,02-12-2010,"Suite 2.06,  Bridge House 181 Queen Victoria Street London United Kingdom EC4V 4EG",pending,,,,,,,
ATOMOS INVESTMENTS LIMITED,02041819,10.0,29-07-1986,2nd Floor 5 Hatfields (Alto) London United Kingdom SE1 9PG,pending,,,,,,,
WREN INVESTMENT OFFICE LIMITED,10286208,10.0,19-07-2016,66 Lincoln's Inn Fields London United Kingdom WC2A 3LH,pending,,,,,,,
BREGAL (CUSTODY) LIMITED,04615819,10.0,12-12-2002,20 Air Street London England W1B 5AN,pending,,,,,,,
COMMANDER ASSET MANAGEMENT LIMITED,04301639,10.0,09-10-2001,2 St. Andrew's Hill London EC4V 5BY,pending,,,,,,,
ASPECT CAPITAL LIMITED,03491169,10.0,12-01-1998,10 Portman Square London W1H 6AZ,pending,,,,,,,
MAKOR PARTNERS LIMITED,07275915,10.0,07-06-2010,30 Panton Street London England SW1Y 4AJ,pending,,,,,,,
REDWOOD CAPITAL (EUROPE) LIMITED,03899931,10.0,21-12-1999,"3rd Floor,  Waverley House London United Kingdom W1F 8GQ",pending,,,,,,,
MKP CAPITAL UK LTD,07400336,10.0,07-10-2010,5 Hanover Square London England null,pending,,,,,,,
TWO RIVERS FINANCIAL PLANNING LIMITED,05298510,10.0,26-11-2004,33 Main Road Caldicot NP26 5SA,pending,,,,,,,
CIT FINANCIAL SERVICES LIMITED,03889608,10.0,07-12-1999,1st Floor 1 Red Place London England W1K 6PL,pending,,,,,,,
RHOMBUS PRIVATE CAPITAL LIMITED,04404988,10.0,27-03-2002,116 Silverdale Avenue Walton-On-Thames United Kingdom KT12 1EQ,pending,,,,,,,
COLLIERS CAPITAL HOLDINGS LIMITED,06430656,10.0,19-11-2007,95 Wigmore Street London England W1U 1FF,pending,,,,,,,
FINANCE EARTH LIMITED,12955180,10.0,15-10-2020,W106 Vox Studios 1-45 Durham Street London United Kingdom SE11 5JH,pending,,,,,,,
CHARLES TAYLOR INVESTMENT MANAGEMENT COMPANY LIMITED,02597752,10.0,27-03-1991,2 Minster Court London United Kingdom EC3R 7BB,pending,,,,,,,
AKO CAPITAL MANAGEMENT LIMITED,05411627,10.0,01-04-2005,One Newman Street London England W1T 1PB,pending,,,,,,,
BLUEBAY ASSET MANAGEMENT INTERNATIONAL LIMITED,05310624,10.0,10-12-2004,100 Bishopsgate London England EC2N 4AA,pending,,,,,,,
GMO U.K. LIMITED,04658801,10.0,06-02-2003,No. 1 London Bridge London SE1 9BG,pending,,,,,,,
BALBEC CAPITAL LIMITED,07123905,10.0,13-01-2010,1st Floor 3-4 London NW4 2EL,pending,,,,,,,
SAPPHIRE CAPITAL LTD,04675455,10.0,24-02-2003,"47 Velsheda Court Hythe Marina Village Hythe,  Southampton United Kingdom SO45 6DW",pending,,,,,,,
HANDELSBANKEN WEALTH & ASSET MANAGEMENT LIMITED,04132340,10.0,29-12-2000,25 Basinghall Street London England EC2V 5HA,pending,,,,,,,
GALMERROW SECURITIES LIMITED,00934842,10.0,03-07-1968,2 Piries Place Horsham United Kingdom RH12 1EH,pending,,,,,,,
ASHMORE INVESTMENT MANAGEMENT LIMITED,03344281,10.0,03-04-1997,16 Palace Street London England SW1E 5JD,pending,,,,,,,
IWP INVESTMENT MANAGEMENT LIMITED,01812617,10.0,01-05-1984,101 Wigmore Street London United Kingdom W1U 1QU,pending,,,,,,,
OX GLOBAL INVESTMENTS LTD,06884280,10.0,22-04-2009,22a St James's Square London England SW1Y 4JH,pending,,,,,,,
DUKE STREET GENERAL PARTNER LIMITED,03565673,10.0,18-05-1998,"Third Floor (East),  Carrington House London England W1B 5SE",pending,,,,,,,
HARBOUR LITIGATION FUNDING LTD,06426478,10.0,14-11-2007,Suite 2a Princes House London England SW1Y 6DN,pending,,,,,,,
GORILLA TECH CAPITAL LIMITED,03564275,10.0,14-05-1998,64 North Row London England W1K 7DA,pending,,,,,,,
FUTURE VALUE LIMITED,07433597,10.0,09-11-2010,167-169 Great Portland Street London England W1W 5PF,pending,,,,,,,
MANOR PARK CARE LIMITED,04681146,10.0,27-02-2003,Pyramid House London England N12 9RT,pending,,,,,,,
INNISFREE COINVESTMENTS LIMITED,05118369,10.0,04-05-2004,"1st Floor,  Boundary House London United Kingdom EC1M 6HR",pending,,,,,,,
INNISFREE LIMITED,03039792,10.0,30-03-1995,"First Floor,  Boundary House London United Kingdom EC1M 6HR",pending,,,,,,,
INNISFREE RESOURCES LIMITED,03817389,10.0,30-07-1999,"1st Floor,  Boundary House London United Kingdom EC1M 6HR",pending,,,,,,,
INNISFREE SECONDARY SLP LIMITED,06223514,10.0,23-04-2007,"1st Floor,  Boundary House London United Kingdom EC1M 6HR",pending,,,,,,,
INNISFREE IMPPP 1 LIMITED,04386611,10.0,04-03-2002,"1st Floor,  Boundary House London United Kingdom EC1M 6HR",pending,,,,,,,
INNISFREE CONTINUATION PARTNERS (MEMBER) LIMITED,03552874,10.0,24-04-1998,"1st Floor,  Boundary House London United Kingdom EC1M 6HR",pending,,,,,,,
INNISFREE CONTINUATION SLP LIMITED,05623327,10.0,15-11-2005,"1st Floor,  Boundary House London England EC1M 6HR",pending,,,,,,,
INNISFREE EXGP SECONDARY LIMITED,06243650,10.0,10-05-2007,"1st Floor,  Boundary House London United Kingdom EC1M 6HR",pending,,,,,,,
POLAR CAPITAL SECRETARIAL SERVICES LIMITED,04138229,10.0,10-01-2001,16 Palace Street London SW1E 5JD,pending,,,,,,,
JAGUAR INVESTMENTS LIMITED,04401454,10.0,22-03-2002,71 Queen Victoria Street London England EC4V 4BE,pending,,,,,,,
TURFMOOR CONSULTING LTD,11257260,10.0,15-03-2018,6 Richmond Mansions East Twickenham England TW1 2HH,pending,,,,,,,
IFM INVESTORS (UK) LTD,05857982,10.0,26-06-2006,2 London Wall Place London England EC2Y 5AU,pending,,,,,,,
IFDC LIMITED,01746367,10.0,16-08-1983,33 Cavendish Square London England W1G 0PW,pending,,,,,,,
NUVEEN INVESTMENT MANAGEMENT INTERNATIONAL LIMITED,02137726,10.0,04-06-1987,9th Floor 201 London EC2M 3BN,pending,,,,,,,
EFES CONSULTING UK LTD,13087903,10.0,17-12-2020,Britannia House London England W6 0LH,pending,,,,,,,
E.D. CHAPMAN LIMITED,00712109,10.0,03-01-1962,61 Bridge Street Kington United Kingdom HR5 3DJ,pending,,,,,,,
D'ORSA CAPITAL LIMITED,07183440,10.0,09-03-2010,4th Floor Fitzrovia House London W1T 6QW,pending,,,,,,,
LANSDOWNE PARTNERS LIMITED,03514088,10.0,20-02-1998,65 Curzon Street London England W1J 8PE,pending,,,,,,,
CENKOS FUND MANAGEMENT LIMITED,06181222,10.0,23-03-2007,1 Bartholomew Close London England EC1A 7BL,pending,,,,,,,
MUSSARD & CO. WEALTH MANAGEMENT LIMITED,07203602,10.0,25-03-2010,Turnpike House 1208-1210 London Road Leigh-On-Sea SS9 2UA,pending,,,,,,,
BROMPTON PARTNERS LIMITED,07184850,10.0,10-03-2010,1 Knightsbridge Green London SW1X 7QA,pending,,,,,,,
ABRAXAS CAPITAL MANAGEMENT LIMITED,04519371,10.0,27-08-2002,4th Floor 399-401 Strand London United Kingdom WC2R 0LT,pending,,,,,,,
ROOT CAPITAL (FOUNDER PARTNER) LIMITED,04762967,10.0,13-05-2003,44 Catherine Place London England SW1E 6HL,pending,,,,,,,
ALANGO EVENTS CONSULTING INTERNATIONAL LTD,11716122,10.0,06-12-2018,2nd Floor College House Ruislip United Kingdom HA4 7AE,pending,,,,,,,
BELGRAVE CAPITAL MANAGEMENT LIMITED,03105821,10.0,22-09-1995,85 Great Portland Street London United Kingdom W1W 7LT,pending,,,,,,,
GESTORIA LIMITED,07953766,10.0,17-02-2012,7-8 Ritz Parade London W5 3RA,pending,,,,,,,
EXCLUSIVE CAPITAL PARTNERS GLOBAL LIMITED,12507585,10.0,10-03-2020,7 Bell Yard London United Kingdom WC2A 2JR,pending,,,,,,,
J SAINSBURY COMMON INVESTMENT FUND LIMITED,02789936,10.0,15-02-1993,33 Charterhouse Street London England EC1M 6HA,pending,,,,,,,
NEWTON MANAGEMENT LIMITED,02769904,10.0,02-12-1992,160 Queen Victoria Street London England EC4V 4LA,pending,,,,,,,
STEPHEN GRUNDY LIMITED,07384282,10.0,22-09-2010,Towngate House 2-8 Parkstone Road Poole BH15 2PW,pending,,,,,,,
GOLDFIELDS VAULTX LTD,12739243,10.0,13-07-2020,128 City Road London United Kingdom EC1V 2NX,pending,,,,,,,
PRINCIPAL REAL ESTATE EUROPE LIMITED,06434632,10.0,22-11-2007,1 Wood Street London United Kingdom EC2V 7JB,pending,,,,,,,
MACKENZIE TAYLOR WEALTH MANAGEMENT LTD.,SC313079,10.0,06-12-2006,53 Culduthel Mains Gardens Inverness Scotland IV2 6RD,pending,,,,,,,
CHIKARA INVESTMENT SERVICES LIMITED,05396509,10.0,17-03-2005,5-10 Bolton Street London United Kingdom W1J 8BA,pending,,,,,,,
EXXONMOBIL PENSION TRUST LIMITED,00371341,10.0,18-12-1941,Fawley Administration Building Fawley Refinery Fawley United Kingdom SO45 1TX,pending,,,,,,,
FALCON MONEY MANAGEMENT UK LIMITED,06726423,10.0,17-10-2008,Elementa Workspace London United Kingdom W1G 0PW,pending,,,,,,,
DAIWA ASSET MANAGEMENT (EUROPE) LTD,02045607,10.0,11-08-1986,62-64 Cornhill London England EC3V 3NH,pending,,,,,,,
CBH WEALTH UK LIMITED,07013856,10.0,09-09-2009,One Fleet Place London EC4M 7WS,pending,,,,,,,
ALBERON SERVICES LIMITED,02802006,10.0,22-03-1993,Chancellors House 3 Brampton Lane London England NW4 4AB,pending,,,,,,,
EATON VANCE MANAGEMENT (INTERNATIONAL) LIMITED,04228294,10.0,04-06-2001,125 Old Broad Street London EC2N 1AR,pending,,,,,,,
CORPORATION ONE LTD,06889334,10.0,28-04-2009,29 Langland Gardens London England NW3 6QE,pending,,,,,,,
RUGBY RADIO STATION (GENERAL PARTNER) LIMITED,04944892,10.0,27-10-2003,80 Fenchurch Street London United Kingdom EC3M 4AE,pending,,,,,,,
AMUNDI (UK) LIMITED,01753527,10.0,16-09-1983,77 Coleman Street London United Kingdom EC2R 5BJ,pending,,,,,,,
PEDIMENT CAPITAL PARTNERS LIMITED,11527558,10.0,20-08-2018,11 Conduit Mews London England W2 3RE,pending,,,,,,,
SILK INVEST LIMITED,06603042,10.0,27-05-2008,30 Churchill Place London England E14 5RE,pending,,,,,,,
